transaction_id,user_id,transaction_amount,transaction_time,transaction_type,location,device_id,ip_address,is_mobile,is_fraud
42,511,843.83,2022-04-07 01:00:00,deposit,Pimpri-Chinchwad,device_811,192.168.0.271,1,1
43,682,871.9,2022-02-18 11:00:00,transfer,Thane,device_768,192.168.0.599,1,1
44,476,5659.42,2022-05-26 20:00:00,withdrawal,Kanpur,device_476,192.168.0.26,1,1
45,700,2900.31,2022-05-05 10:00:00,deposit,Patna,device_700,192.168.0.700,0,0
46,976,116.05,2022-07-08 13:00:00,deposit,Kolkata,device_976,192.168.0.976,1,0
47,783,2920.83,2022-02-26 21:00:00,deposit,Kolkata,device_783,192.168.0.783,1,0
48,190,57875.46,2022-12-15 06:00:00,transfer,Ahmedabad,device_190,192.168.0.190,1,1
49,958,3591.57,2022-04-19 05:00:00,deposit,Kolkata,device_958,192.168.0.958,1,0
50,687,2223.67,2022-01-05 04:00:00,withdrawal,Patna,device_688,192.168.0.715,0,1
51,958,2084.05,2022-01-24 12:00:00,deposit,Chennai,device_958,192.168.0.958,1,0
52,563,6204.29,2022-08-09 01:00:00,payment,Bangalore,device_102,192.168.0.632,1,1
53,876,6514.62,2022-11-11 14:00:00,transfer,Jaipur,device_34,192.168.0.876,1,0
54,567,15294.58,2022-10-21 23:00:00,transfer,Thane,device_877,192.168.0.704,1,1
55,244,2000.24,2022-01-10 11:00:00,transfer,Kanpur,device_244,192.168.0.993,1,1
56,832,1972.65,2022-06-14 08:00:00,transfer,Bhopal,device_832,192.168.0.832,1,0
57,505,2163.88,2022-08-03 03:00:00,transfer,Mumbai,device_505,192.168.0.129,1,1
58,131,13879.42,2022-05-06 23:00:00,withdrawal,Pune,device_131,192.168.0.214,1,1
59,485,850.84,2022-09-24 20:00:00,deposit,Nagpur,device_485,192.168.0.485,0,0
60,819,4724.78,2022-10-07 05:00:00,withdrawal,Mumbai,device_149,192.168.0.554,1,1
61,647,1299.1,2022-03-29 08:00:00,withdrawal,Mumbai,device_647,192.168.0.647,1,0
62,21,2832.3,2022-04-24 14:00:00,withdrawal,Pune,device_21,192.168.0.245,1,1
63,841,5466.87,2022-01-21 03:00:00,deposit,Mumbai,device_841,192.168.0.841,1,1
64,167,7776.68,2022-05-28 01:00:00,deposit,Visakhapatnam,device_167,192.168.0.167,0,1
65,274,3710.28,2022-09-02 03:00:00,transfer,Nagpur,device_112,192.168.0.227,1,1
66,388,1365.61,2022-09-23 10:00:00,transfer,Chennai,device_388,192.168.0.388,0,0
67,601,521.12,2022-08-05 06:00:00,payment,Ahmedabad,device_601,192.168.0.601,0,0
68,316,1435.71,2022-08-28 02:00:00,deposit,Delhi,device_869,192.168.0.704,0,1
69,14,1059.87,2022-08-20 00:00:00,deposit,Bangalore,device_14,192.168.0.14,0,0
70,242,13594.68,2022-08-20 09:00:00,payment,Kanpur,device_68,192.168.0.242,1,1
71,777,13158.59,2022-08-30 08:00:00,transfer,Ghaziabad,device_333,192.168.0.612,1,1
72,346,12358.0,2022-07-09 02:00:00,transfer,Thane,device_442,192.168.0.346,0,1
73,565,3010.54,2022-08-17 22:00:00,deposit,Ahmedabad,device_565,192.168.0.565,1,0
74,898,1318.37,2022-03-07 09:00:00,deposit,Patna,device_898,192.168.0.898,0,0
75,340,2840.5,2022-10-06 00:00:00,withdrawal,Ahmedabad,device_849,192.168.0.427,1,1
76,92,844.78,2022-09-26 05:00:00,payment,Pimpri-Chinchwad,device_92,192.168.0.92,1,0
77,367,4354.3,2022-07-28 13:00:00,withdrawal,Hyderabad,device_487,192.168.0.367,1,1
78,956,2545.33,2022-01-16 02:00:00,deposit,Bangalore,device_763,192.168.0.832,0,1
79,455,1984.13,2022-10-24 01:00:00,transfer,Jaipur,device_455,192.168.0.577,1,0
80,428,2665.01,2022-08-08 09:00:00,transfer,Kolkata,device_896,192.168.0.770,1,1
81,509,172.48,2022-09-14 12:00:00,payment,Lucknow,device_509,192.168.0.509,0,0
82,776,3160.93,2022-09-25 18:00:00,withdrawal,Pune,device_776,192.168.0.776,0,0
83,943,1826.79,2022-08-17 18:00:00,transfer,Mumbai,device_943,192.168.0.943,1,0
84,35,875.45,2022-04-29 23:00:00,transfer,Nagpur,device_378,192.168.0.35,1,1
85,206,573.67,2022-06-27 01:00:00,withdrawal,Surat,device_206,192.168.0.206,0,0
86,81,4463.75,2022-01-20 00:00:00,transfer,Pimpri-Chinchwad,device_81,192.168.0.851,0,1
87,932,1093.25,2022-02-05 23:00:00,deposit,Nagpur,device_932,192.168.0.932,1,0
88,562,40326.37,2022-12-01 10:00:00,transfer,Surat,device_186,192.168.0.581,0,1
89,872,420.22,2022-04-18 17:00:00,payment,Kolkata,device_872,192.168.0.872,0,0
90,388,1770.32,2022-07-08 01:00:00,transfer,Bangalore,device_221,192.168.0.466,0,1
91,2,17526.59,2022-06-27 00:00:00,transfer,Nagpur,device_334,192.168.0.583,1,1
92,390,913.01,2022-04-06 03:00:00,payment,Lucknow,device_390,192.168.0.390,0,0
93,566,15888.45,2022-11-11 05:00:00,transfer,Delhi,device_279,192.168.0.435,0,1
94,106,3767.32,2022-01-20 01:00:00,payment,Thane,device_222,192.168.0.118,1,1
95,772,3709.26,2022-06-13 10:00:00,deposit,Kolkata,device_772,192.168.0.772,0,0
96,822,3723.69,2022-04-07 06:00:00,transfer,Visakhapatnam,device_47,192.168.0.614,1,1
97,477,4337.51,2022-05-23 00:00:00,transfer,Chennai,device_970,192.168.0.141,0,1
98,703,1742.09,2022-03-03 01:00:00,transfer,Surat,device_8,192.168.0.441,0,1
99,402,27666.25,2022-08-30 04:00:00,transfer,Ahmedabad,device_722,192.168.0.574,1,1
100,730,516.06,2022-08-26 01:00:00,payment,Surat,device_730,192.168.0.730,1,0
101,556,1370.46,2022-05-11 01:00:00,payment,Delhi,device_471,192.168.0.884,1,1
102,162,24837.88,2022-04-03 02:00:00,transfer,Indore,device_728,192.168.0.298,1,1
103,202,2119.35,2022-04-01 10:00:00,transfer,Delhi,device_202,192.168.0.202,1,0
104,958,5347.8,2022-05-13 17:00:00,payment,Chennai,device_958,192.168.0.958,1,0
105,996,2408.55,2022-05-03 01:00:00,deposit,Bangalore,device_109,192.168.0.604,1,1
106,270,2008.55,2022-12-08 17:00:00,withdrawal,Visakhapatnam,device_270,192.168.0.270,1,0
107,863,4447.53,2022-04-28 20:00:00,deposit,Lucknow,device_863,192.168.0.863,1,0
108,816,1567.79,2022-07-17 11:00:00,transfer,Bangalore,device_544,192.168.0.929,0,1
109,271,1520.19,2022-10-09 01:00:00,deposit,Thane,device_271,192.168.0.662,1,0
110,456,697.03,2022-01-01 10:00:00,deposit,Delhi,device_456,192.168.0.456,0,0
111,462,3316.87,2022-07-30 11:00:00,withdrawal,Kanpur,device_780,192.168.0.78,1,1
112,727,482.46,2022-09-20 23:00:00,deposit,Pune,device_727,192.168.0.727,0,0
113,252,7526.9,2022-11-28 23:00:00,deposit,Ghaziabad,device_948,192.168.0.660,1,1
114,702,864.76,2022-07-31 09:00:00,deposit,Bhopal,device_702,192.168.0.702,0,0
115,296,1947.99,2022-03-28 08:00:00,deposit,Chennai,device_482,192.168.0.312,1,1
116,725,20331.92,2022-06-02 22:00:00,transfer,Ghaziabad,device_725,192.168.0.318,0,1
117,720,5174.24,2022-12-16 21:00:00,deposit,Delhi,device_720,192.168.0.79,1,1
118,749,228.79,2022-07-06 11:00:00,payment,Lucknow,device_93,192.168.0.749,1,0
119,338,552.76,2022-03-02 06:00:00,transfer,Indore,device_338,192.168.0.338,1,0
120,879,249.56,2022-10-12 03:00:00,withdrawal,Delhi,device_879,192.168.0.879,0,0
121,53,2627.25,2022-04-05 05:00:00,deposit,Pune,device_489,192.168.0.982,1,1
122,792,6988.67,2022-10-01 15:00:00,transfer,Chennai,device_792,192.168.0.352,0,1
123,922,9128.93,2022-02-10 23:00:00,withdrawal,Bangalore,device_177,192.168.0.922,1,1
124,217,2553.27,2022-05-27 20:00:00,payment,Thane,device_538,192.168.0.217,0,0
125,764,587.73,2022-09-03 04:00:00,deposit,Indore,device_764,192.168.0.764,0,0
126,188,3442.29,2022-05-12 15:00:00,transfer,Surat,device_54,192.168.0.664,1,1
127,380,7629.35,2022-10-24 03:00:00,payment,Kanpur,device_380,192.168.0.291,1,1
128,493,2598.66,2022-05-03 16:00:00,transfer,Ghaziabad,device_493,192.168.0.619,1,0
129,41,953.17,2022-05-23 15:00:00,payment,Kanpur,device_41,192.168.0.41,1,0
130,157,9340.19,2022-07-01 03:00:00,payment,Thane,device_992,192.168.0.680,0,1
131,15,626.28,2022-07-11 05:00:00,payment,Pune,device_15,192.168.0.15,0,0
132,813,573.0,2022-07-26 01:00:00,transfer,Patna,device_337,192.168.0.687,1,1
133,65,12163.18,2022-08-19 00:00:00,deposit,Visakhapatnam,device_65,192.168.0.522,1,1
134,857,1926.51,2022-01-22 20:00:00,deposit,Indore,device_857,192.168.0.857,1,0
135,839,4458.91,2022-03-21 00:00:00,transfer,Bhopal,device_839,192.168.0.159,0,1
136,521,1306.23,2022-05-10 02:00:00,payment,Pimpri-Chinchwad,device_521,192.168.0.521,0,0
137,344,3486.0,2022-10-19 05:00:00,deposit,Visakhapatnam,device_344,192.168.0.344,1,0
138,129,4873.46,2022-10-03 22:00:00,withdrawal,Mumbai,device_786,192.168.0.613,1,1
139,648,272.4,2022-11-19 03:00:00,transfer,Hyderabad,device_648,192.168.0.640,1,1
140,472,645.26,2022-02-24 02:00:00,transfer,Hyderabad,device_45,192.168.0.694,0,1
141,63,18746.0,2022-03-07 14:00:00,transfer,Thane,device_772,192.168.0.461,1,1
142,139,8895.48,2022-08-15 03:00:00,payment,Jaipur,device_830,192.168.0.927,1,1
143,499,15305.01,2022-01-26 04:00:00,transfer,Kanpur,device_586,192.168.0.473,1,1
144,593,21729.28,2022-09-10 16:00:00,transfer,Patna,device_429,192.168.0.838,0,1
145,392,4575.41,2022-07-16 06:00:00,transfer,Delhi,device_392,192.168.0.392,0,0
146,675,267.93,2022-05-10 21:00:00,transfer,Pune,device_675,192.168.0.675,1,0
147,419,896.25,2022-08-31 13:00:00,withdrawal,Indore,device_419,192.168.0.419,0,0
148,289,452.55,2022-11-08 12:00:00,deposit,Bhopal,device_289,192.168.0.289,1,0
149,379,1291.18,2022-07-31 06:00:00,withdrawal,Bangalore,device_379,192.168.0.379,1,0
150,773,282.94,2022-07-09 20:00:00,transfer,Visakhapatnam,device_773,192.168.0.773,0,0
151,490,5130.51,2022-10-17 06:00:00,transfer,Mumbai,device_406,192.168.0.242,1,1
152,231,877.87,2022-08-14 01:00:00,deposit,Kolkata,device_29,192.168.0.102,1,1
153,41,3473.36,2022-09-03 02:00:00,transfer,Surat,device_142,192.168.0.41,1,1
154,28,21129.24,2022-02-25 05:00:00,transfer,Bhopal,device_144,192.168.0.482,0,1
155,135,554.37,2022-02-24 18:00:00,deposit,Lucknow,device_135,192.168.0.135,0,0
156,201,2458.63,2022-10-03 23:00:00,deposit,Hyderabad,device_746,192.168.0.435,1,1
157,840,5574.1,2022-11-02 11:00:00,transfer,Pimpri-Chinchwad,device_309,192.168.0.840,1,1
158,780,5896.19,2022-12-06 06:00:00,transfer,Indore,device_780,192.168.0.512,1,1
159,930,6726.76,2022-06-02 03:00:00,transfer,Mumbai,device_589,192.168.0.148,1,1
160,33,2219.31,2022-02-22 12:00:00,transfer,Mumbai,device_248,192.168.0.193,0,1
161,48,2693.56,2022-04-21 23:00:00,transfer,Bangalore,device_371,192.168.0.48,1,1
162,503,1174.18,2022-07-23 11:00:00,payment,Lucknow,device_503,192.168.0.569,1,0
163,407,2932.32,2022-04-22 03:00:00,deposit,Hyderabad,device_407,192.168.0.407,1,0
164,574,528.32,2022-11-21 02:00:00,payment,Nagpur,device_574,192.168.0.574,0,0
165,728,900.45,2022-09-15 06:00:00,transfer,Kanpur,device_728,192.168.0.728,0,0
166,805,709.54,2022-01-16 06:00:00,transfer,Kolkata,device_753,192.168.0.137,1,1
167,99,708.91,2022-12-16 22:00:00,transfer,Jaipur,device_99,192.168.0.99,1,0
168,684,1341.54,2022-06-15 07:00:00,deposit,Delhi,device_684,192.168.0.684,1,0
169,872,2618.63,2022-10-28 07:00:00,transfer,Kolkata,device_872,192.168.0.872,1,0
170,726,499.6,2022-10-07 11:00:00,deposit,Thane,device_726,192.168.0.726,1,0
171,987,5835.38,2022-06-07 23:00:00,transfer,Delhi,device_908,192.168.0.987,1,1
172,547,6448.66,2022-09-06 05:00:00,transfer,Bhopal,device_836,192.168.0.260,0,1
173,961,182.72,2022-06-30 05:00:00,deposit,Thane,device_961,192.168.0.961,1,0
174,739,311.98,2022-07-10 03:00:00,withdrawal,Ahmedabad,device_739,192.168.0.739,1,0
175,613,8122.8,2022-05-19 05:00:00,payment,Nagpur,device_410,192.168.0.918,1,1
176,943,5221.37,2022-03-19 20:00:00,payment,Kanpur,device_509,192.168.0.377,1,1
177,462,5404.36,2022-12-02 03:00:00,transfer,Visakhapatnam,device_85,192.168.0.81,1,1
178,643,1939.98,2022-02-19 06:00:00,transfer,Hyderabad,device_329,192.168.0.643,1,1
179,769,1155.12,2022-03-26 08:00:00,payment,Surat,device_618,192.168.0.171,1,1
180,5,7932.85,2022-07-02 05:00:00,transfer,Nagpur,device_746,192.168.0.363,1,1
181,218,5809.54,2022-07-02 02:00:00,payment,Indore,device_812,192.168.0.77,0,1
182,503,157.5,2022-01-04 22:00:00,deposit,Lucknow,device_503,192.168.0.503,1,0
183,767,993.43,2022-11-13 13:00:00,transfer,Jaipur,device_767,192.168.0.767,0,0
184,398,6509.32,2022-04-21 17:00:00,withdrawal,Visakhapatnam,device_398,192.168.0.398,0,0
185,871,1997.68,2022-11-30 15:00:00,payment,Patna,device_871,192.168.0.871,0,0
186,795,447.91,2022-12-05 23:00:00,payment,Delhi,device_795,192.168.0.795,1,0
187,393,5807.12,2022-09-08 05:00:00,transfer,Kanpur,device_380,192.168.0.783,0,1
188,207,4000.65,2022-05-13 05:00:00,transfer,Bangalore,device_207,192.168.0.323,1,1
189,15,25498.11,2022-04-10 04:00:00,payment,Jaipur,device_28,192.168.0.513,1,1
190,858,355.84,2022-06-21 08:00:00,payment,Ghaziabad,device_858,192.168.0.858,0,0
191,554,18025.02,2022-10-14 03:00:00,withdrawal,Thane,device_628,192.168.0.940,0,1
192,892,332.4,2022-04-29 23:00:00,payment,Pune,device_892,192.168.0.892,1,0
193,461,6862.62,2022-12-16 22:00:00,deposit,Thane,device_831,192.168.0.867,0,1
194,691,2090.4,2022-06-24 07:00:00,transfer,Nagpur,device_691,192.168.0.691,0,0
195,575,15581.6,2022-01-30 03:00:00,deposit,Surat,device_730,192.168.0.719,0,1
196,864,2364.55,2022-02-24 02:00:00,withdrawal,Lucknow,device_864,192.168.0.864,0,0
197,743,238.82,2022-12-27 21:00:00,withdrawal,Ahmedabad,device_743,192.168.0.743,0,0
198,241,4920.45,2022-07-15 04:00:00,transfer,Mumbai,device_588,192.168.0.824,1,1
199,564,8194.46,2022-02-10 06:00:00,transfer,Chennai,device_89,192.168.0.564,1,1
200,96,3249.71,2022-06-22 21:00:00,withdrawal,Nagpur,device_96,192.168.0.96,0,0
201,900,354.06,2022-11-26 09:00:00,payment,Ghaziabad,device_900,192.168.0.900,0,0
202,734,428.76,2022-08-07 19:00:00,payment,Visakhapatnam,device_734,192.168.0.734,0,0
203,485,1137.37,2022-07-27 05:00:00,transfer,Visakhapatnam,device_901,192.168.0.566,1,1
204,407,4913.02,2022-06-07 14:00:00,transfer,Pune,device_133,192.168.0.934,1,1
205,231,6441.29,2022-11-29 05:00:00,transfer,Chennai,device_313,192.168.0.231,1,1
206,749,1563.26,2022-08-16 09:00:00,withdrawal,Lucknow,device_749,192.168.0.749,1,0
207,655,840.62,2022-03-26 23:00:00,withdrawal,Thane,device_655,192.168.0.655,1,0
208,171,979.36,2022-06-22 14:00:00,payment,Chennai,device_171,192.168.0.171,1,0
209,541,987.03,2022-09-02 08:00:00,withdrawal,Indore,device_541,192.168.0.541,0,0
210,36,869.05,2022-12-26 06:00:00,payment,Kolkata,device_36,192.168.0.36,0,0
211,525,175.01,2022-06-22 00:00:00,withdrawal,Nagpur,device_525,192.168.0.525,1,0
212,160,1888.26,2022-12-01 14:00:00,withdrawal,Ghaziabad,device_160,192.168.0.84,1,1
213,839,1877.45,2022-07-31 08:00:00,withdrawal,Lucknow,device_839,192.168.0.839,0,0
214,699,703.07,2022-03-25 19:00:00,payment,Chennai,device_699,192.168.0.699,1,0
215,243,664.59,2022-06-22 08:00:00,deposit,Jaipur,device_243,192.168.0.243,1,0
216,86,17436.16,2022-07-02 04:00:00,withdrawal,Surat,device_826,192.168.0.417,1,1
217,796,3214.17,2022-05-13 18:00:00,transfer,Visakhapatnam,device_796,192.168.0.796,1,0
218,578,528.26,2022-10-15 11:00:00,payment,Patna,device_578,192.168.0.578,1,0
219,682,21831.66,2022-09-19 22:00:00,transfer,Kanpur,device_327,192.168.0.883,0,1
220,557,4041.51,2022-12-16 07:00:00,withdrawal,Patna,device_557,192.168.0.577,1,1
221,574,10937.22,2022-10-09 02:00:00,withdrawal,Nagpur,device_126,192.168.0.254,1,1
222,953,4747.77,2022-10-20 06:00:00,transfer,Indore,device_953,192.168.0.885,1,1
223,646,578.35,2022-09-26 00:00:00,transfer,Delhi,device_646,192.168.0.646,1,0
224,796,2445.15,2022-12-15 07:00:00,payment,Visakhapatnam,device_796,192.168.0.796,1,0
225,28,444.9,2022-07-16 04:00:00,transfer,Mumbai,device_28,192.168.0.28,1,0
226,620,4199.59,2022-01-25 11:00:00,withdrawal,Bhopal,device_510,192.168.0.620,0,1
227,556,4900.76,2022-05-21 01:00:00,transfer,Visakhapatnam,device_247,192.168.0.362,1,1
228,340,3342.87,2022-08-11 03:00:00,transfer,Lucknow,device_613,192.168.0.671,1,1
229,798,1261.8,2022-01-20 03:00:00,transfer,Surat,device_869,192.168.0.798,1,1
230,958,1820.05,2022-09-04 00:00:00,payment,Chennai,device_958,192.168.0.958,1,0
231,331,12340.72,2022-11-24 00:00:00,transfer,Delhi,device_585,192.168.0.373,0,1
232,640,5791.82,2022-07-20 03:00:00,transfer,Kolkata,device_462,192.168.0.287,1,1
233,506,512.49,2022-04-25 05:00:00,withdrawal,Surat,device_506,192.168.0.506,1,0
234,348,9581.99,2022-07-08 02:00:00,withdrawal,Jaipur,device_348,192.168.0.348,0,0
235,473,3900.71,2022-01-26 01:00:00,transfer,Pimpri-Chinchwad,device_775,192.168.0.473,1,1
236,231,855.6,2022-02-23 20:00:00,transfer,Delhi,device_231,192.168.0.231,1,0
237,190,58.84,2022-06-19 16:00:00,withdrawal,Ahmedabad,device_190,192.168.0.190,1,0
238,225,1420.86,2022-01-11 05:00:00,deposit,Chennai,device_529,192.168.0.225,1,1
239,385,3500.0,2022-01-27 21:00:00,transfer,Visakhapatnam,device_385,192.168.0.385,1,0
240,377,132310.89,2022-12-16 00:00:00,transfer,Surat,device_521,192.168.0.547,1,1
241,283,3967.26,2022-03-24 08:00:00,deposit,Pimpri-Chinchwad,device_283,192.168.0.283,0,0
242,958,1733.69,2022-10-17 21:00:00,transfer,Chennai,device_113,192.168.0.598,1,1
243,633,7911.64,2022-02-07 09:00:00,deposit,Mumbai,device_272,192.168.0.803,1,1
244,628,743.32,2022-03-28 23:00:00,transfer,Ghaziabad,device_628,192.168.0.628,0,0
245,973,766.38,2022-11-17 22:00:00,transfer,Ahmedabad,device_973,192.168.0.973,1,0
246,745,1336.94,2022-06-05 02:00:00,withdrawal,Nagpur,device_745,192.168.0.33,0,1
247,259,8262.52,2022-11-04 23:00:00,transfer,Kolkata,device_259,192.168.0.430,1,1
248,359,308.41,2022-10-13 22:00:00,deposit,Jaipur,device_359,192.168.0.359,1,0
249,710,492.39,2022-07-05 04:00:00,deposit,Bhopal,device_755,192.168.0.724,0,1
250,456,3263.81,2022-07-01 23:00:00,transfer,Delhi,device_333,192.168.0.491,1,1
251,411,84.84,2022-05-23 00:00:00,deposit,Jaipur,device_411,192.168.0.411,1,0
252,649,488.81,2022-07-25 15:00:00,payment,Pune,device_649,192.168.0.649,0,0
253,318,8951.91,2022-05-22 03:00:00,withdrawal,Jaipur,device_197,192.168.0.286,1,1
254,677,3400.83,2022-07-04 03:00:00,payment,Pimpri-Chinchwad,device_677,192.168.0.305,0,0
255,225,9298.53,2022-08-29 06:00:00,withdrawal,Pune,device_502,192.168.0.359,1,1
256,819,3901.98,2022-01-08 03:00:00,deposit,Lucknow,device_588,192.168.0.389,0,1
257,234,2852.31,2022-03-13 12:00:00,transfer,Patna,device_979,192.168.0.150,0,1
258,684,1945.82,2022-10-15 06:00:00,transfer,Surat,device_81,192.168.0.453,1,1
259,664,21728.89,2022-04-05 04:00:00,payment,Thane,device_849,192.168.0.957,0,1
260,975,1395.86,2022-06-06 02:00:00,transfer,Jaipur,device_975,192.168.0.601,1,1
261,827,5564.94,2022-02-10 08:00:00,deposit,Delhi,device_544,192.168.0.239,1,1
262,374,1985.28,2022-11-27 19:00:00,payment,Visakhapatnam,device_374,192.168.0.374,0,0
263,672,674.96,2022-10-28 08:00:00,deposit,Pimpri-Chinchwad,device_6,192.168.0.953,1,1
264,608,439.07,2022-09-26 08:00:00,deposit,Nagpur,device_903,192.168.0.489,0,1
265,472,1980.83,2022-06-04 12:00:00,deposit,Patna,device_472,192.168.0.472,1,0
266,233,1146.99,2022-10-02 04:00:00,payment,Delhi,device_92,192.168.0.239,1,1
267,692,1494.5,2022-06-03 10:00:00,transfer,Mumbai,device_692,192.168.0.692,1,0
268,113,2047.53,2022-02-22 23:00:00,transfer,Hyderabad,device_859,192.168.0.113,1,1
269,830,6422.81,2022-06-28 16:00:00,transfer,Nagpur,device_191,192.168.0.987,1,1
270,497,1641.2,2022-08-28 10:00:00,transfer,Indore,device_497,192.168.0.497,1,0
271,442,13426.28,2022-05-17 05:00:00,transfer,Chennai,device_344,192.168.0.658,1,1
272,564,7654.5,2022-09-12 05:00:00,deposit,Bhopal,device_138,192.168.0.480,1,1
273,268,1372.67,2022-08-12 15:00:00,withdrawal,Lucknow,device_268,192.168.0.268,0,0
274,510,27987.29,2022-06-29 05:00:00,transfer,Lucknow,device_15,192.168.0.811,1,1
275,807,412.77,2022-07-01 16:00:00,payment,Surat,device_807,192.168.0.807,1,0
276,386,5179.03,2022-09-16 03:00:00,transfer,Patna,device_529,192.168.0.412,0,1
277,387,12215.19,2022-08-31 04:00:00,transfer,Hyderabad,device_490,192.168.0.255,0,1
278,113,343.85,2022-04-06 22:00:00,withdrawal,Thane,device_459,192.168.0.978,1,1
279,613,5038.79,2022-07-16 07:00:00,withdrawal,Chennai,device_613,192.168.0.613,1,0
280,625,928.71,2022-01-14 23:00:00,payment,Hyderabad,device_625,192.168.0.625,0,0
281,952,1684.09,2022-04-30 04:00:00,withdrawal,Thane,device_952,192.168.0.952,1,0
282,81,3001.34,2022-09-26 02:00:00,transfer,Lucknow,device_656,192.168.0.304,0,1
283,699,7632.85,2022-06-20 05:00:00,deposit,Jaipur,device_137,192.168.0.466,0,1
284,113,6408.72,2022-03-13 19:00:00,transfer,Kanpur,device_564,192.168.0.777,1,1
285,2,1596.83,2022-06-28 15:00:00,transfer,Ahmedabad,device_698,192.168.0.896,1,1
286,642,706.39,2022-06-19 04:00:00,payment,Delhi,device_642,192.168.0.642,0,0
287,220,1813.21,2022-06-08 05:00:00,deposit,Patna,device_220,192.168.0.220,1,0
288,566,4772.7,2022-06-03 13:00:00,transfer,Jaipur,device_566,192.168.0.566,0,0
289,855,3374.59,2022-03-23 03:00:00,transfer,Pune,device_533,192.168.0.697,1,1
